"Not if it were my own brother!" cried d’Artagnan, as if carried away by his enthusiasm.	«Non, fût-ce mon frère!» s'écria d'Artagnan comme emporté par l'enthousiasme.
A goodly number of curious, good people had been shivering since daybreak before the grand staircase of the palace; some even affirmed that they had passed the night across the threshold of the great door, in order to make sure that they should be the first to pass in.	Bon nombre de ces honnêtes curieux grelottaient dès le point du jour devant le grand degré du Palais ; quelques-uns même affirmaient avoir passé la nuit en travers de la grande porte pour être sûrs d’entrer les premiers.
"Consul," said he, "I have no longer any doubt.	« Monsieur, dit-il au consul, je n'ai plus aucun doute.
Ce ton, dépouillé de toute passion, de tout intérêt humain, de toute colère, fit pâlir le comte ; il lui rappela la façon d’être d’un de ses amis qui, peu de mois auparavant, sur le point de mourir, et ayant déjà reçu les sacrements, avait voulu l’entretenir.	This tone, divested of all passion, of all human interest, of all anger, turned the Conte pale; it reminded him of the manner of a friend of his who, a few months earlier, when on the point of death, and after receiving the Last Sacrament, had sent for him to talk to him.
I was not fond of pampering that susceptible vanity of his; but for once, and from motives of expediency, I would e'en soothe and stimulate it.	Je n'aimais pas à flatter sa vanité; mais cette fois je désirais l'exciter pour arriver plus vite à mon but.
"Where shall we go?" said Phoebus; "'To Eve's Apple.'"	À La Pomme d’Ève ?
There was a short silence and Father was beginning, Tt must have heen . . .' when right under the dining-room window looking on the Station Road, as I have said before, sounded a shrill prolonged whistle which must have been heard as far as the church.	Il y eut un court silence et mon père commençait à dire que « c’était sans doute… », lorsque, tout juste sous la fenêtre de la salle à manger, qui donnait, je l’ai dit, sur la route de La Gare, un coup de sifflet partit, strident et très prolongé, qui dut s’entendre jusque dans la rue de l’église.
Anne of Austria lowered her head, allowed the torrent to flow on without replying, hoping that it would cease of itself; but this was not what Louis XIII meant. Louis XIII wanted a discussion from which some light or other might break, convinced as he was that the cardinal had some afterthought and was preparing for him one of those terrible surprises which his Eminence was so skillful in getting up.	Anne d'Autriche baissa la tête, laissa s'écouler le torrent sans répondre et espérant qu'il finirait par s'arrêter; mais ce n'était pas cela que voulait Louis XIII; Louis XIII voulait une discussion de laquelle jaillît une lumière quelconque, convaincu qu'il était que le cardinal avait quelque arrière-pensée et lui machinait une surprise terrible comme en savait faire Son Éminence.
Helped by the water, my movements were executed with startling ease.	Mes mouvements, aidés par l'eau, se produisaient avec une surprenante facilité.
The said dauphin was then young, was handsome, was stout, and, above all (magnificent origin of all royal virtues), he was the son of the Lion of France.	Le susdit dauphin donc était jeune, était beau, était fort, et surtout (magnifique origine de toutes les vertus royales !) il était fils du lion de France.
"Yes."	-- Non.
He greatly astonished his friend by knocking at his door at one o'clock in the morning.	Il étonna bien son ami en frappant à sa porte à une heure du matin.
Mr. Bennet, you are wanted immediately; we are all in an uproar.	Bennet, s’exclama-t-elle en entrant, j’ai besoin de vous tout de suite. Venez vite obliger Lizzy a accepter Mr.
Determining, at all events, to sell your life dearly, you struggle frantically, hitting out right and left with arms and legs, and yelling lustily the while, and at last something gives way, and you find your head in the fresh air.	Résolu, quoi qu’il advienne, a ne céder votre vie qu’a prix d’or, vous luttez farouchement, donnant des poings et des pieds a droite, a gauche. Soudain, une résistance cede, et votre tete émerge a l’air libre.
These ideas, it will be understood, presented themselves to my mind in a vague and undetermined form.	Ces idées, on le comprend, se présentèrent à mon esprit sous une forme vague et obscure.
'I am independent, myself,' he was saying to a gentleman wearing three decorations, whom he was apparently quizzing.	– Je suis indépendant, moi, disait-il à un monsieur portant trois plaques, et dont apparemment il se moquait.
The whole chamber, moreover, presented a general aspect of abandonment and dilapidation; and the bad state of the utensils induced the supposition that their owner had long been distracted from his labors by other preoccupations.	L’ensemble de la logette, du reste, présentait un aspect général d’abandon et de délabrement ; et le mauvais état des ustensiles laissait supposer que le maître était déjà depuis assez longtemps distrait de ses travaux par d’autres préoccupations.
Julien applauded his own deftness in making use of the deprivation of the cure of Verrieres to leave a door open for himself and so return to commerce, should the sad voice of prudence prevail, in his mind, over heroism.	Julien s’applaudit de sa finesse à tirer parti de la destitution du curé de Verrières pour se laisser une porte ouverte et revenir au commerce, si dans son esprit la triste prudence l’emportait sur l’héroïsme.
But you strike me as having the air of a gallant man, and it is safer to defer our affair until to−morrow.	Mais vous m’avez l’air d’un gaillard, et il est plus sûr de remettre la partie à demain.
It had festered like an abscess and the abscess had burst,splashing every one.	Elle avait grossi comme une tumeur, et cette tumeur venait decrever, éclaboussant tout le monde.
"Anyhow, come what may," he exclaimed, "I shall kiss her at the first opportunity.	—Ma foi, tant pis, s'écriait-il, je l'embrasse à la première occasion….
The poor fellow was done for.	L'infortuné était perdu.
Gringoire shuddered.	Gringoire frissonna.
"Nothing, except a little pain in the ears."	---Aucunement, sauf quelques douleurs d'oreilles.
When at last his spirit was calmer, when his thoughts had settledlike water that has been stirred and lashed, he could contemplate thesituation which had come before him.	Quand son âme enfin se fut calmée, quand sa pensée se fut éclaircieainsi qu'une eau battue et remuée, il envisagea la situation qu'onvenait de lui révéler.
He has been promised a hundred napoleons.	On lui a promis cent napoléons.
This same Issachar was the most choleric little Hebrew that had ever been in Israel since the captivity of Babylon.	Cet Issachar était le plus colérique Hébreu qu'on eût vu dans Israël, depuis la captivité en Babylone.
She gave me no positive reason, but put me off with those evasions which a woman resorts to when she will not tell the truth.	Elle ne me donna aucune raison positive, alléguant tout ce qu'une femme peut alléguer quand elle ne veut pas répondre la vérité.
Proud that in a cause of compassion and honour, he had been able to get the better of himself. She read over her aunt's commendation of him again and again.	Elle avait honte d’elle-meme mais elle était fiere de lui, fiere que pour accomplir une tâche de pitié et d’honneur, il eut pu se vaincre lui-meme.
The parlour in which she was asked to wait displayed that refined and delicate luxury, so different from vulgar magnificence, which one finds in Paris only in the best houses.	Le salon où on la fit attendre étalait ce luxe fin et délicat, si différent de la magnificence grossière, et que l’on ne trouve à Paris que dans les meilleures maisons.
Marguerite's nature was very capricious, and, like so many women, she never regarded as a serious expense those thousand and one distractions which made up her life.	Marguerite était d'une nature fort capricieuse, et faisait partie de ces femmes qui n'ont jamais regardé comme une dépense sérieuse les mille distractions dont leur existence se compose.
'What shall I say to my husband,' she asked him, 'if the man tells him how he found the ladder?'	– Que répondrai-je à mon mari, lui dit-elle, si le domestique lui conte qu’il a trouvé cette échelle ?
He caught hold of the bottle and sent it flying over the garden hedge.	Jim saisit la bouteille et la lança par-dessus la haie du jardin.
Ce jour-là même, Fabrice rencontra dans la rue la petite Marietta ; elle devint rouge de bonheur, et lui fit signe de la suivre sans l’aborder.	That same day, Fabrizio met in the street little Marietta; she flushed with joy and made a sign to him to follow her without speaking.
